instruction,input,output
Interpret OBD-II code B2300,,Seat Driver Memory Position Error
Interpret OBD-II code B2301,,Seat Passenger Memory Position Error
Interpret OBD-II code B2302,,Seat Headrest Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2303,,Seat Headrest Feedback Potentiometer Circuit Open
Interpret OBD-II code B2304,,Seat Headrest Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2305,,Seat Headrest Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2306,,Seat Headrest Motor Stalled
Interpret OBD-II code B2310,,Mirror Driver Memory Position Error
Interpret OBD-II code B2311,,Mirror Passenger Memory Position Error
Interpret OBD-II code B2312,,Mirror Passenger Horizontal Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2313,,Mirror Passenger Horizontal Feedback Potentiometer Circuit Open
Interpret OBD-II code B2314,,Mirror Passenger Horizontal Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2315,,Mirror Passenger Horizontal Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2316,,Mirror Passenger Vertical Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2317,,Mirror Passenger Vertical Feedback Potentiometer Circuit Open
Interpret OBD-II code B2318,,Mirror Passenger Vertical Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2319,,Mirror Passenger Vertical Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2320,,Mirror Driver Horizontal Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2321,,Mirror Driver Horizontal Feedback Potentiometer Circuit Open
Interpret OBD-II code B2322,,Mirror Driver Horizontal Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2323,,Mirror Driver Horizontal Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2324,,Mirror Driver Vertical Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2325,,Mirror Driver Vertical Feedback Potentiometer Circuit Open
Interpret OBD-II code B2326,,Mirror Driver Vertical Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2327,,Mirror Driver Vertical Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2328,,Column Reach Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2329,,Column Reach Feedback Potentiometer Circuit Open
Interpret OBD-II code B2330,,Column Reach Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2331,,Column Reach Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2332,,Column Tilt Feedback Potentiometer Circuit Failure
Interpret OBD-II code B2333,,Column Tilt Feedback Potentiometer Circuit Open
Interpret OBD-II code B2334,,Column Tilt Feedback Potentiometer Circuit Short to Battery
Interpret OBD-II code B2335,,Column Tilt Feedback Potentiometer Circuit Short to Ground
Interpret OBD-II code B2336,,Mirror Switch Assembly Circuit Failure
Interpret OBD-II code B2337,,Mirror Switch Assembly Circuit Open
Interpret OBD-II code B2338,,Mirror Switch Assembly Circuit Short to Battery
Interpret OBD-II code B2339,,Mirror Switch Assembly Circuit Short to Ground
Interpret OBD-II code B2340,,Column Reach Motor Stalled
Interpret OBD-II code B2341,,Column Tilt Motor Stalled
Interpret OBD-II code B2342,,Seat Switch Reference Voltage Positive Common Open Circuit
Interpret OBD-II code B2343,,Seat Switch Reference Voltage Positive Common Supply Low Voltage
Interpret OBD-II code B2344,,Seat Switch Reference Voltage Positive Common Supply Voltage Fault
Interpret OBD-II code B2345,,Seat Switch Reference Voltage Negative Common Open Circuit
Interpret OBD-II code B2346,,Mirror Switch Reference Voltage Positive Common Open Circuit
Interpret OBD-II code B2347,,Mirror Switch Reference Voltage Positive Common Supply Low Voltage
Interpret OBD-II code B2348,,Mirror Switch Reference Voltage Positive Common Supply Voltage Fault
Interpret OBD-II code B2349,,Mirror Switch Reference Voltage Negative Common Open Circuit
Interpret OBD-II code B2350,,Steering Column Switch Circuit Short to Battery
Interpret OBD-II code B2351,,Steering Column Switch Circuit Failure
Interpret OBD-II code B2352,,Driver Memory Power Switch Indicator Circuit Short to Battery
Interpret OBD-II code B2353,,Driver Mirror Power Driver Circuit Short Ground
Interpret OBD-II code B2354,,Driver Mirror Horizontal / Vertical Feedback Potentiometer Circuit Open
Interpret OBD-II code B2355,,Passenger Mirror Horizontal / Vertical Feedback Potentiometer Circuit Open
Interpret OBD-II code B2357,,Driver Window Down Current Sense Low Circuit Failure
Interpret OBD-II code B2362,,Remote Open/Close signal Circuit Short to Ground
Interpret OBD-II code B2363,,Optical Sensor System Failure
Interpret OBD-II code B2364,,Fuel Filler Door Circuit Open
Interpret OBD-II code B2365,,B-pillar Power Sliding Door Open/Close Switch Input Ckt Short to Gnd
Interpret OBD-II code B2366,,IP Power Sliding Door Open/Close switch Ckt Short to Gnd
Interpret OBD-II code B2367,,Power Sliding Door Override Switch Input Ckt Short to Gnd
Interpret OBD-II code B2368,,Steering Column Switch Circuit Out of Range
Interpret OBD-II code B2369,,Chime OUTPUT Request Ckt Short to Ground
Interpret OBD-II code B2373,,LED #1 Circuit Short to Battery
Interpret OBD-II code B2374,,Power Sliding Detent (Latch) Circuit  Failure
Interpret OBD-II code B2380,,Heater Coolant Temp sensor circuit Short to GND
Interpret OBD-II code B2381,,Heater Coolant Temp sensor circuit Open
Interpret OBD-II code B2384,,Audio Reverse Aid Mute Input Ckt Failure
Interpret OBD-II code B2385,,Audio Navigation Mute Input Ckt  Failure
Interpret OBD-II code B2401,,Audio Tape Deck Mechanism Fault
Interpret OBD-II code B2402,,Audio CD/DJ Thermal Shutdown Fault
Interpret OBD-II code B2403,,Audio CD/DJ Internal Fault
Interpret OBD-II code B2404,,Audio Steering Wheel Switch Circuit Fault
Interpret OBD-II code B2405,,Audio Single-Disc CD Player Thermal Shutdown Fault
Interpret OBD-II code B2406,,Audio Single-Disc CD Player Internal Fault
Interpret OBD-II code B2416,,Climate Control Recirculation Actuator Out of Limits
Interpret OBD-II code B2425,,Remote Keyless Entry Out of Synchronization
Interpret OBD-II code B2426,,Passenger Solar Radiation Sensor  Circuit Open
Interpret OBD-II code B2427,,Passenger Solar Radiation Sensor  Circuit Short to Ground
Interpret OBD-II code B2428,,A/C Post Heater Sensor #2 Circuit Failure
Interpret OBD-II code B2429,,A/C Post Heater Sensor #2 Circuit Short to Ground
Interpret OBD-II code B2431,,Transponder Programming Failed
Interpret OBD-II code B2432,,Drivers Seat Belt Buckle Switch Circuit Open
Interpret OBD-II code B2433,,Drivers Seat Belt Buckle Switch Circuit Short to Battery
Interpret OBD-II code B2434,,Drivers Seat Belt Buckle Switch Circuit Short to Ground
Interpret OBD-II code B2435,,Drivers Seat Belt Buckle Switch Resistance out of Range
Interpret OBD-II code B2436,,Passengers Seat Belt Buckle Switch Circuit Open
Interpret OBD-II code B2437,,Passengers Seat Belt Buckle Switch Circuit Short to Battery
Interpret OBD-II code B2438,,Passengers Seat Belt Buckle Switch Circuit Short to Ground
Interpret OBD-II code B2439,,Passengers Seat Belt Buckle Switch Resistance out of Range
Interpret OBD-II code B2440,,Passenger Side
Interpret OBD-II code B2441,,Driver Side
Interpret OBD-II code B2442,,Intrusion Sensor Fault
Interpret OBD-II code B2443,,Powertrain Performance Mode Switch Circuit failure
Interpret OBD-II code B2444,,Driver Side Crash Sensor Internal Fault
Interpret OBD-II code B2445,,Passenger Side Crash Sensor Internal Fault
Interpret OBD-II code B2446,,RESCU/VEMS Input Circuit Open
Interpret OBD-II code B2447,,RESCU/VEMS Input Circuit Short to Battery
Interpret OBD-II code B2448,,RESCU/VEMS Input Circuit Short to Ground
Interpret OBD-II code B2449,,Aux Heater Glow Plug Circuit Short to Ground
Interpret OBD-II code B2450,,Aux Heater Glow Plug Circuit Open
Interpret OBD-II code B2451,,Aux Heater Fuel Pump Circuit Short to Ground
Interpret OBD-II code B2452,,Aux Heater Fuel Pump Circuit Open
Interpret OBD-II code B2453,,Aux Heater Blower Fan Circuit Short to Ground
Interpret OBD-II code B2454,,Aux Heater Blower Fan Circuit Open
Interpret OBD-II code B2455,,Aux Heater Blower Faulted
Interpret OBD-II code B2456,,Aux Heater Coolant Sensor Circuit Short to Ground
Interpret OBD-II code B2457,,Aux Heater Coolant Sensor Circuit Open
Interpret OBD-II code B2458,,Aux Heater Overheat Sensor Circuit Short to Ground
Interpret OBD-II code B2459,,Aux Heater Overheat Sensor Circuit Open
Interpret OBD-II code B2460,,Aux Heater Flame Sensor Circuit Short to Ground
Interpret OBD-II code B2461,,Aux Heater Flame Sensor Circuit Open
Interpret OBD-II code B2462,,Aux Heater Flame Out Fault
Interpret OBD-II code B2463,,Aux Heater Overheat Fault
Interpret OBD-II code B2464,,Aux Heater Start Time Exceeded
Interpret OBD-II code B2465,,Aux Heater Start Counter Overrun/System Locked (same as below ?)
Interpret OBD-II code B2466,,Aux Heater Overheat Counter Overrun/System Locked
Interpret OBD-II code B2467,,Aux Heater Cool Down Time Exceeded (may be con to a453-5 )
Interpret OBD-II code B2468,,Aux Heater Coolant Pump Circuit Short to Ground
Interpret OBD-II code B2469,,Aux Heater Coolant Pump Circuit Open
Interpret OBD-II code B2470,,Interior Fan Control Circuit Short to Ground
Interpret OBD-II code B2471,,Interior Fan Control Circuit Open
Interpret OBD-II code B2472,,Fog Lamp Switch  Failure
Interpret OBD-II code B2473,,Passenger Door Disarm Switch ckt Short to Ground
Interpret OBD-II code B2474,,Passenger Door Lock Switch Circuit Shorted to Ground
Interpret OBD-II code B2475,,Passenger Door Unlock Switch Circuit Shorted to Ground
Interpret OBD-II code B2476,,RADIO PRESENT SWITCH Ckt Failure
Interpret OBD-II code B2477,,Module Configuration Failure
Interpret OBD-II code B2478,,ANTI THEFT INPUT SIGNAL SHORT TO GROUND
Interpret OBD-II code B2479,,BRAKE PARK SWITCH CIRCUIT SHORT TO GROUND
Interpret OBD-II code B2480,,LF CORNER LAMP OUTPUT Ckt Short to Battery
Interpret OBD-II code B2481,,Convertible Top Up/Down switch Fault
Interpret OBD-II code B2482,,RF CORNER LAMP OUTPUT Ckt Short to Battery
Interpret OBD-II code B2483,,Enable Signal Open Circuit
Interpret OBD-II code B2484,,Disable Signal Short to Ground
Interpret OBD-II code B2485,,LF SIDE REPEATER LAMP OUTPUT Ckt Short to Battery
Interpret OBD-II code B2487,,RF SIDE REPEATER LAMP OUTPUT Ckt Short to Battery
Interpret OBD-II code B2489,,UNDERHOOD LAMP OUTPUT CIRCUIT Failure
Interpret OBD-II code B2490,,UNDERHOOD LAMP OUTPUT CIRCUIT Short to Battery
Interpret OBD-II code B2491,,RF PARK LAMP OUTPUT CIRCUIT Short to Battery
Interpret OBD-II code B2492,,Already Programmed (Test Mode DTC Only !!!)
Interpret OBD-II code B2493,,LF PARK LAMP OUTPUT CIRCUIT Short to Battery
Interpret OBD-II code B2494,,ANTI THEFT HORN OUTPUT CIRCUIT Short to Batt
Interpret OBD-II code B2495,,ANTI THEFT HORN OUTPUT CIRCUIT Failure
Interpret OBD-II code B2496,,ANTI THEFT HORN OUTPUT CIRCUIT Short to Gnd
Interpret OBD-II code B2499,,COURTESY LAMP OUTPUT Failure
Interpret OBD-II code B2500,,COURTESY LAMP OUTPUT Ckt Short to Battery
Interpret OBD-II code B2501,,LF LAMP LOW BEAM CIRCUIT Failure
Interpret OBD-II code B2502,,LF LAMP LOW BEAM CIRCUIT Short to Battery
Interpret OBD-II code B2503,,RF LAMP LOW BEAM CIRCUIT Failure
Interpret OBD-II code B2504,,RF LAMP LOW BEAM CIRCUIT Short to Battery
Interpret OBD-II code B2505,,LF LAMP HIGH BEAM CIRCUIT Failure
Interpret OBD-II code B2506,,LF LAMP HIGH BEAM CIRCUIT Short to Battery
Interpret OBD-II code B2507,,RF LAMP HIGH BEAM CIRCUIT Failure
Interpret OBD-II code B2508,,RF LAMP HIGH BEAM CIRCUIT Short to Battery
Interpret OBD-II code B2509,,Rear Fog Lamp Switch Circuit Failure
Interpret OBD-II code B2510,,Main Blower Motor Relay Circuit Short to Battery
Interpret OBD-II code B2511,,Horn Output Relay Circuit Short to Battery
Interpret OBD-II code B2512,,Front Fog Lamp Relay Ckt Short to Battery
Interpret OBD-II code B2513,,Blower (Fan) Circuit Failure
Interpret OBD-II code B2514,,Blower (Fan) Circuit Short to Vbatt
Interpret OBD-II code B2515,,Heater Blower Relay Circuit Failure
Interpret OBD-II code B2516,,Blower Control Circuit Failure
Interpret OBD-II code B2517,,Emergency Power Off System Faulted
Interpret OBD-II code B2518,,Compressor Overtemp Fault
Interpret OBD-II code B2519,,High Mount Stop Lamp Circuit Failure
Interpret OBD-II code B2520,,High Mount Stop Lamp Circuit Short to Battery
Interpret OBD-II code B2523,,License Lamp Circuit Failure
Interpret OBD-II code B2524,,License Lamp Circuit Short to Battery
Interpret OBD-II code B2525,,Left Rear Backup Lamp Circuit Failure
Interpret OBD-II code B2526,,Left Rear Backup Lamp Circuit Short to Battery
Interpret OBD-II code B2527,,Left Rear Stop lamp Circuit Failure
Interpret OBD-II code B2528,,Left Rear Stop lamp Circuit Short to Battery
Interpret OBD-II code B2529,,Left Rear  Turn Lamp Circuit Failure
Interpret OBD-II code B2530,,Left Rear  Turn Lamp Circuit Short to Battery
Interpret OBD-II code B2531,,Right Rear Backup Lamp Circuit Failure
Interpret OBD-II code B2532,,Right Rear Backup Lamp Circuit Short to Battery
Interpret OBD-II code B2533,,Right Rear Stop lamp Circuit Failure
Interpret OBD-II code B2534,,Right Rear Stop lamp Circuit Short to Battery
Interpret OBD-II code B2535,,Right Rear  Turn Lamp Circuit Failure
Interpret OBD-II code B2536,,Right Rear  Turn Lamp Circuit Short to Battery
Interpret OBD-II code B2539,,Aux A/C Mode Position Reference Circuit Short to Ground
Interpret OBD-II code B2540,,Aux A/C Mode Position Reference Circuit Short to Battery
Interpret OBD-II code B2543,,Aux A/C Control Switch Reference Circuit Short to Ground
Interpret OBD-II code B2544,,Aux A/C Control Switch Reference Circuit Short to Battery
Interpret OBD-II code B2545,,System Power Relay Circuit Short to Battery
Interpret OBD-II code B2546,,System Power Relay Circuit Failure
Interpret OBD-II code B2550,,LAMP DOME OUTPUT Circuit Short to Ground
Interpret OBD-II code B2553,,Disable Signal Output Circuit Short to Battery
Interpret OBD-II code B2554,,LAMP DOME OUTPUT Circuit Failure
Interpret OBD-II code B2555,,LAMP DOME OUTPUT Circuit Short to Battery
Interpret OBD-II code B2556,,Enable Signal  Circuit Short to Battery
Interpret OBD-II code B2557,,Left Power Sliding Door Open/Close Output Circuit Short to Battery
Interpret OBD-II code B2558,,Right Power Sliding Door Open/Close Output Circuit Short to Battery
Interpret OBD-II code B2559,,Aux A/C Blower Motor Relay Circuit Short to Battery
Interpret OBD-II code B2560,,Aux A/C Blower Motor Relay Circuit Short to Ground
Interpret OBD-II code B2561,,Aux A/C Blower Speed 1 Circuit Failure
Interpret OBD-II code B2562,,Aux A/C Blower Speed 1 Circuit Short to Ground
Interpret OBD-II code B2563,,Aux A/C Blower Speed 2 Circuit Failure
Interpret OBD-II code B2564,,Aux A/C Blower Speed 2 Circuit Short to Ground
Interpret OBD-II code B2565,,Right Tail Lamp Circuit Failure
Interpret OBD-II code B2566,,Right Tail Lamp Circuit Short to Ground
Interpret OBD-II code B2567,,Reverse Mirror Output Circuit Failure
Interpret OBD-II code B2568,,Reverse Mirror Output Circuit Short to Ground
Interpret OBD-II code B2569,,Liftgate Disarm Switch Circuit Short to Ground
Interpret OBD-II code B2570,,Right Lamp Outage Signal Circuit Short to Ground
Interpret OBD-II code B2571,,Left Lamp Outage Signal Circuit Short to Ground
Interpret OBD-II code B2580,,Aux Blower Sense Switch Circuit Failure
Interpret OBD-II code B2581,,Passenger Seat Occupant Detection Circuit Short To Ground
Interpret OBD-II code B2582,,Passenger Seat Occupant Detection Circuit Open
Interpret OBD-II code B2583,,Child Seat Detection Circuit Short to Ground
Interpret OBD-II code B2584,,Child Seat Detection Circuit Open
Interpret OBD-II code B2585,,Anti Theft Input Signal Circuit Short To Battery
Interpret OBD-II code B2586,,Headlamp Mode Select Circuit Failure
Interpret OBD-II code B2587,,Passenger Seat Occupant Detection Circuit Short To Battery
Interpret OBD-II code B2588,,Child Seat Detection Circuit Short To Battery
Interpret OBD-II code B2589,,Unexpected Door Reversal During Close
Interpret OBD-II code B2590,,Vehicle Park/Speed Signal Circuit Failure
Interpret OBD-II code B2591,,Detent Signal Missing During Unlatch
Interpret OBD-II code B2592,,PSD Not Fully Closed (Module Commanded Successfully)
Interpret OBD-II code B2593,,Power Sliding Door Opened During Module Close Command
